epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.588,0.6842,6.07002,0.54007,0.00046,0.28073,0.00723,0.0022,0.12404,8.73451,0.09113,0.000415088,0.000415088,0.000415088
2,396.877,0.65379,5.21282,0.47172,0.00074,0.43239,0.0052,0.00214,0.12058,7.67072,0.09505,0.000823521,0.000823521,0.000823521
3,618.462,0.59683,4.51827,0.46634,0.00018,0.23333,0.01827,0.00447,0.13247,5.88739,0.10206,0.0012237,0.0012237,0.0012237
4,870.786,0.77097,3.8546,0.56812,0.00066,0.46809,0.01113,0.00738,0.12375,4.88586,0.09393,0.00121287,0.00121287,0.00121287
5,1126.48,0.71408,3.25556,0.53962,0.00063,0.30674,0.01665,0.00892,0.11055,3.83893,0.08892,0.0012005,0.0012005,0.0012005
6,1375.23,0.72824,2.742,0.53574,0.02819,0.10887,0.00783,0.00276,0.10723,2.56046,0.08898,0.00118812,0.00118812,0.00118812
7,1612.93,0.68889,2.35298,0.52156,0.00876,0.48582,0.02841,0.00934,0.10703,2.15047,0.08107,0.00117575,0.00117575,0.00117575
8,1835.33,0.651,2.07358,0.49142,0.01694,0.31076,0.01336,0.00584,0.12048,1.60797,0.08986,0.00116337,0.00116337,0.00116337
9,2061.46,0.66221,1.8908,0.50542,0.02278,0.38475,0.0248,0.01095,0.12067,1.36673,0.09101,0.001151,0.001151,0.001151
10,2308.39,0.74345,1.93202,0.57409,0.0234,0.38463,0.05748,0.02777,0.1135,1.09888,0.08659,0.00113863,0.00113863,0.00113863
11,2551.04,0.61522,1.68546,0.45969,0.07219,0.12151,0.03623,0.0221,0.11301,0.95534,0.08563,0.00112625,0.00112625,0.00112625
12,2762.71,0.66985,1.75584,0.52686,0.07964,0.28853,0.06906,0.03678,0.10479,0.84724,0.08531,0.00111388,0.00111388,0.00111388
13,3001.54,0.61645,1.55379,0.48525,0.0274,0.43369,0.11686,0.06324,0.10757,0.71902,0.0903,0.0011015,0.0011015,0.0011015
14,3235.59,0.57106,1.53249,0.43564,0.0082,0.49291,0.05958,0.02469,0.10639,0.93017,0.08697,0.00108913,0.00108913,0.00108913
15,3459.73,0.62791,1.5038,0.47406,0.02876,0.45319,0.1058,0.04835,0.10905,0.67915,0.08832,0.00107675,0.00107675,0.00107675
16,3686.11,0.63996,1.49873,0.49702,0.01902,0.46939,0.11669,0.06523,0.10083,0.73,0.08247,0.00106437,0.00106437,0.00106437
17,3910.02,0.57943,1.36538,0.44621,0.04947,0.34492,0.11757,0.05909,0.11457,0.54449,0.08719,0.001052,0.001052,0.001052
18,4133.09,0.60273,1.40191,0.47857,0.02064,0.46939,0.13384,0.07552,0.10526,0.61325,0.08614,0.00103962,0.00103962,0.00103962
19,4355.78,0.71516,1.48217,0.51729,0.05906,0.44208,0.14779,0.07593,0.10614,0.48564,0.08748,0.00102725,0.00102725,0.00102725
20,4579.4,0.58619,1.25247,0.44882,0.06817,0.41726,0.15078,0.07471,0.11428,0.45834,0.08844,0.00101488,0.00101488,0.00101488
21,4801.2,0.68351,1.44747,0.5333,0.04038,0.35118,0.17206,0.09195,0.11106,0.45125,0.08178,0.0010025,0.0010025,0.0010025
22,5026.37,0.7122,1.61331,0.53675,0.04805,0.45875,0.18777,0.0903,0.10622,0.46245,0.0848,0.000990125,0.000990125,0.000990125
23,5250.92,0.613,1.37566,0.47289,0.02223,0.47849,0.17066,0.09422,0.10771,0.46678,0.08339,0.00097775,0.00097775,0.00097775
24,5480.14,0.60306,1.19276,0.44414,0.07739,0.43369,0.17183,0.09296,0.10796,0.41576,0.08379,0.000965375,0.000965375,0.000965375
25,5708.07,0.61118,1.2056,0.4446,0.05085,0.44764,0.1771,0.09574,0.10474,0.42134,0.08117,0.000953,0.000953,0.000953
26,5926.48,0.59967,1.23256,0.45995,0.3482,0.19715,0.23007,0.11779,0.11254,0.44535,0.08885,0.000940625,0.000940625,0.000940625
27,6143.54,0.5716,1.29942,0.4497,0.02791,0.47293,0.1678,0.08992,0.10384,0.45548,0.08176,0.00092825,0.00092825,0.00092825
28,6360.41,0.60816,1.24965,0.48366,0.21912,0.18678,0.18678,0.09355,0.10981,0.43312,0.08704,0.000915875,0.000915875,0.000915875
29,7101.27,0.6127,1.17227,0.45275,0.18626,0.27163,0.22212,0.11721,0.10521,1.05664,0.08205,0.0009035,0.0009035,0.0009035
30,7321.04,0.57496,1.15723,0.44975,0.35474,0.2,0.23097,0.12065,0.10734,0.63962,0.08608,0.000891125,0.000891125,0.000891125
31,7621.2,0.67358,1.21353,0.50553,0.23268,0.24823,0.21999,0.11734,0.10515,0.37826,0.08319,0.00087875,0.00087875,0.00087875
32,23007.5,0.52807,1.11067,0.42391,0.2605,0.20071,0.2406,0.12087,0.10684,0.38897,0.08094,0.000866375,0.000866375,0.000866375
33,24146.7,0.61879,1.14277,0.47767,0.23853,0.3194,0.237,0.13319,0.10603,0.79945,0.08478,0.000854,0.000854,0.000854
34,27930.3,0.5506,1.05819,0.43374,0.47957,0.29717,0.27618,0.15917,0.09764,0.43444,0.07635,0.000841625,0.000841625,0.000841625
35,28311,0.52461,0.98043,0.41898,0.19845,0.27151,0.18151,0.08697,0.10945,0.64735,0.08506,0.00082925,0.00082925,0.00082925
